ProgId,pThreads,Mem_Hits,Mem_Misses,Mem_Latency,L1_Sets,L1_Latency,L1_Hits,L1_Misses,L2_Sets,L2_Latency,L2_Hits,L2_Misses,L3_Hits,L3_Misses,Instructions,InstructionsPerSecond,SimTime,Cycles,CyclesPerSecond,CommittedInstructions,CommittedInstructionsPerCycle,CommittedMicroInstructions,CommittedMicroInstructionsPerCycle,BranchPredictionAccuracy
12,1,0.0,3684.0,250,64,3,137114.0,3684.0,2048,25,1741.0,0,0.0,4209.0,776620,17683,374783.00,1499132,34135,389636,0.2599,699021,0.4663,0.8475
12,1,0.0,3688.0,250,128,4,129994.0,3688.0,1024,25,944.0,0,0.0,4122.0,779018,17634,387107.25,1548429,35051,389636,0.2516,699021,0.4514,0.8481
12,1,0.0,3685.0,300,64,4,129409.0,3685.0,2048,25,1739.0,0,0.0,4209.0,779296,16966,424325.25,1697301,36952,389636,0.2296,699021,0.4118,0.8472
12,2,0.0,3707.0,200,64,3,113658.0,3707.0,1024,18,1762.0,0,180.0,4368.0,782039,18091,328343.00,1313372,30382,391232,0.2979,702237,0.5347,0.8468
12,2,0.0,3705.0,200,128,3,114411.0,3706.0,1024,25,1016.0,0,178.0,4292.0,779386,18216,331134.00,1324536,30958,391244,0.2954,702254,0.5302,0.8485
12,2,0.0,3704.0,250,64,3,113539.0,3704.0,2048,25,1759.0,0,178.0,4361.0,781547,17567,364470.00,1457880,32770,391208,0.2683,702197,0.4817,0.847
12,2,0.0,3713.0,250,128,4,108581.0,3713.0,1024,25,945.0,0,180.0,4299.0,784180,17629,374261.25,1497045,33654,391224,0.2613,702220,0.4691,0.8477
12,2,0.0,3706.0,300,64,4,107958.0,3706.0,2048,25,1757.0,0,180.0,4368.0,784281,17147,410587.25,1642349,35907,391211,0.2382,702201,0.4276,0.8467
12,4,0.0,3761.0,200,64,3,102834.0,3761.0,1024,18,1801.0,0,364.0,4453.0,792904,18051,326743.00,1306972,29753,395162,0.3023,710067,0.5433,0.8459
12,4,0.0,3759.0,200,128,3,103594.0,3760.0,1024,25,1031.0,0,365.0,4373.0,790070,18084,329569.00,1318276,30174,395222,0.2998,710169,0.5387,0.8476
12,4,0.0,3761.0,250,64,3,102731.0,3761.0,2048,25,1799.0,0,362.0,4449.0,792437,17509,363067.00,1452268,32087,395198,0.2721,710129,0.489,0.8461
12,4,0.0,3767.0,250,128,4,98836.0,3767.0,1024,25,957.0,0,363.0,4382.0,794950,17575,371323.25,1485293,32837,395198,0.2661,710129,0.4781,0.8467
12,4,0.0,3764.0,300,64,4,98225.0,3764.0,2048,25,1798.0,0,361.0,4450.0,796601,16912,407800.25,1631201,34631,395198,0.2423,710129,0.4353,0.8458
12,8,0.0,3868.0,200,64,3,100377.0,3873.0,1024,18,1944.0,0,753.0,4625.0,818850,17872,330967.00,1323868,28894,406670,0.3072,733384,0.554,0.8473
12,8,0.0,3861.0,200,128,3,101226.0,3862.0,1024,25,1081.0,0,741.0,4508.0,816551,17943,332392.00,1329568,29215,406600,0.3058,733268,0.5515,0.8489
12,8,0.0,3864.0,250,64,3,100274.0,3864.0,2048,25,1940.0,0,748.0,4615.0,819967,17228,368470.00,1473880,30967,406562,0.2758,733202,0.4975,0.8472
12,8,0.0,3871.0,250,128,4,96984.0,3871.0,1024,25,1016.0,0,743.0,4507.0,822212,17360,374686.25,1498745,31643,406605,0.2713,733275,0.4893,0.8478
12,8,0.0,3867.0,300,64,4,96329.0,3867.0,2048,25,1940.0,0,747.0,4617.0,822777,16743,413947.25,1655789,33695,406624,0.2456,733308,0.4429,0.847
12,16,0.0,4247.0,200,64,3,129844.0,4510.0,1024,18,2330.0,0,2326.0,5466.0,1710274,15781,386102.00,1544408,14250,1211633,0.7845,2404235,1.557,0.884
12,16,0.0,4242.0,200,128,3,131280.0,4242.0,1024,25,1111.0,0,2338.0,5196.0,1711040,15714,386796.00,1547184,14209,1211570,0.7831,2404130,1.554,0.8844
12,16,0.0,4248.0,250,64,3,129866.0,4503.0,2048,25,2325.0,0,2325.0,5465.0,1710600,15615,429459.00,1717836,15681,1211582,0.7053,2404146,1.4,0.884
12,16,0.0,4256.0,250,128,4,125575.0,4260.0,1024,25,1246.0,0,2343.0,5237.0,1716394,15622,438843.25,1755373,15976,1211589,0.6902,2404163,1.37,0.884
12,16,0.0,4252.0,300,64,4,124489.0,4497.0,2048,25,2324.0,0,2338.0,5458.0,1720912,15207,483452.25,1933809,17088,1211637,0.6266,2404241,1.243,0.8836
12,1,0.0,3941.0,200,64,3,466545.0,3941.0,1024,18,1952.0,0,0.0,4794.0,1623731,15746,548488.00,2193952,21276,1172674,0.5345,2325239,1.06,0.8857
12,1,0.0,3933.0,200,128,3,468036.0,3933.0,1024,25,1030.0,0,0.0,4525.0,1624153,15964,548221.00,2192884,21554,1172674,0.5348,2325239,1.06,0.8859
12,1,0.0,3942.0,250,64,3,466534.0,3942.0,2048,25,1955.0,0,0.0,4795.0,1624468,15680,590149.00,2360596,22785,1172662,0.4968,2325217,0.985,0.8855
12,1,0.0,3945.0,250,128,4,430999.0,3945.0,1024,25,1088.0,0,0.0,4544.0,1627235,15359,651771.25,2607085,24607,1172698,0.4498,2325279,0.8919,0.8856
12,1,0.0,3944.0,300,64,4,430289.0,3944.0,2048,25,1963.0,0,0.0,4797.0,1627106,15100,695437.25,2781749,25816,1172698,0.4216,2325279,0.8359,0.8853
12,32,0.0,4534.0,200,64,3,143990.0,5294.0,1024,18,2829.0,0,4322.0,6198.0,1806706,15112,427416.00,1709664,14300,1257260,0.7354,2496828,1.46,0.8843
12,32,0.0,4533.0,200,128,3,145527.0,4535.0,1024,25,1403.0,0,4331.0,5820.0,1806039,15086,426191.00,1704764,14240,1257330,0.7375,2496944,1.465,0.8846
12,32,0.0,4534.0,250,64,3,144073.0,5299.0,2048,25,2832.0,0,4319.0,6193.0,1807924,15050,475389.00,1901556,15829,1257325,0.6612,2496937,1.313,0.8843
